data;hora;idade;sexo;sit_vitima;log1;tipo_acid;auto;taxi;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;lotacao;dia_sem;periododia;fx_et;tipo_veic
##########;10:00:00.0000000;30;FEMININO;CONDUTOR;R VICENTE DA FONTOURA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;DOMINGO;MANHA;26 A 35;MOTOCICLETA

o que ta dando errado agora

n sei
vo fazer a ultima ativ
